Term|Code|Preferred|PreferredTerm|Kind
pseudoxanthoma elasticum|M56890|V|pseudoxanthoma elasticum|2
psoriasiform eczeem|M48870||psoriasiforme dermatitis|2
psoriasiforme dermatitis|M48870|V|psoriasiforme dermatitis|2
psoriasis|M48840|V|psoriasis|2
psoriasis guttata|M48960||pityriasis lichenoides chronica|2
psoriasis pustularis|M48850|V|psoriasis pustularis|2
psoriasis vulgaris|M48840||psoriasis|2
psoriatische artritis|T12000D31020||arthritis psoriatica|2
psychische stoornis|D90000|V|psychische stoornis|2
psychose|D90300|V|psychose|2
pterygium|M49710|V|pterygium|2
pterygoidaal gebied|TY0500||regio pterygoidea|0
pterygolymfangiectasie syndroom|D57430||turner|2
ptyalismus|F60803|V|ptyalismus|2
pubertas praecox|F96410|V|pubertas praecox|2
pulmonaal blastoom|M89723|V|pulmonaal blastoom|2
pulmonaal myxoid sarcoom met ewsr1-creb1 fusie|M88423|V|pulmonaal myxoid sarcoom met ewsr1-creb1 fusie|2
pulmonaal myxoid sarcoom met ewsr1-creb1 translocatie|M88423||pulmonaal myxoid sarcoom met ewsr1-creb1 fusie|2
pulmonaalarterie|T44000||arteria pulmonalis|0
pulmonaalklep|T37000||pulmonalisklep|0
pulmonale hypertensie|F71010|V|pulmonale hypertensie|2
pulmonale interstitiele glycogenose|T28780M69530|V|pulmonale interstitiele glycogenose|2
pulmonale venoocclusieve ziekte|D74450||venoocclusive disease|2
pulmonalis atresie|T44000M20400|V|pulmonalis atresie|6
pulmonalisklep|T37000|V|pulmonalisklep|0
pulpa tand|T54060|V|pulpa tand|0
pulse granuloom|T40000D00010M69220|V|pulse granuloom|2
pulsiedivertikel|M32720|V|pulsiedivertikel|2
pulvinar|TX4340|V|pulvinar|0
punctaat|P31430||punctie|1
punctie|P31430|V|punctie|1
punctie klinicus|P31430||punctie|1
punctie patholoog|P31431|V|punctie patholoog|1
punlmp|M81301||papillaire urotheelcelneoplasie van laag maligne potentieel|2
pupil|TXX530|V|pupil|0
pure redcell anemia|T06160M75400||pure redcell anemie|2
pure redcell anemie|T06160M75400|V|pure redcell anemie|2
purpura|M37300|V|purpura|2
purpura fulminans|M37340|V|purpura fulminans|2
purpura pigmentosa chronica|M48590|V|purpura pigmentosa chronica|2
purpura pigmentosa progressiva|M48600|V|purpura pigmentosa progressiva|2
purulent materiaal|M40460||pus|2
purulent ontstekingsproces|M40400||purulente ontsteking|2
purulente ontsteking|M40400|V|purulente ontsteking|2
pus|M40460|V|pus|2
pustulaire psoriasis|M48850||psoriasis pustularis|2
pustuleus ontstekingsproces|M40400||purulente ontsteking|2
pustuleuze ontsteking|M40400||purulente ontsteking|2
pustuleuze psoriasis|M48850||psoriasis pustularis|2
pustulosis acuta generalisata|M41750||microabces|2
pustulosis palmaris et plantaris|M43520|V|pustulosis palmaris et plantaris|2
pustulosis palmoplantaris|M43520||pustulosis palmaris et plantaris|2
putamen|TX3400|V|putamen|0
pycnose|M65120|V|pycnose|2
pyelitis|T72000M40000|V|pyelitis|6
pyelitis cystica|T72000M73340|V|pyelitis cystica|2
pyelonefritis|T72300M40000|V|pyelonefritis|2
pyelonefritis chronica|T72300M43000||chronische pyelonefritis|2
pyelonefritische schrompeling|T72300M43000||chronische pyelonefritis|2
pyelo-ureterale overgang|T73130|V|pyelo-ureterale overgang|0
pyelum|T72000|V|pyelum|0
pyelum-ureter overgang|T73130||pyelo-ureterale overgang|0
pylorische metaplasie|T63700M73300||pseudopylorische metaplasie|6
pylorospasme|F61520|V|pylorospasme|2
pylorus|T63700|V|pylorus|0
pylorus maag|T63700||pylorus|0
pylorusstenose|T63700M34130|V|pylorusstenose|2
pyoderma|T01000M40460||pyodermie|6
pyoderma gangraenosum|M40750|V|pyoderma gangraenosum|2
pyoderma gangrenosum|M40750||pyoderma gangraenosum|2
pyodermie|T01000M40460|V|pyodermie|6
pyogeen granuloom|M44440||granuloma pyogenicum|2
pyometra|T82000M40460|V|pyometra|6
pyonefrose|T71000M40460|V|pyonefrose|6
pyosalpinx|T86100M40460|V|pyosalpinx|6
pyoureter|T73000M40460|V|pyoureter|6
pyurie|T7X100M40460|V|pyurie|6
q fever|D03260|V|q fever|2
quadriceps femoris muscle|T14550||musculus quadriceps femoris|0
quervain peesschede|T17050M45330||tendosynovitis stenosans|2
quervain schildklier|T96000M44000||thyreoiditis van quervain|6
queyrat|M80801|V|queyrat|2
r.b.i.l.d.|T28780T27000M40000||respiratoire bronchiolitis interstitiele pneumonie|2
r.e.m. syndroom|D38742||reticulaire erythemateuze mucinose|2
r.p.g.n.|D67400||crescentische glomerulonefritis|2
rabdoid meningeoom|M95393||rhabdoid meningeoom|2
rabdoid tumor|M89633||rhabdoid tumor|2
rabdomyolyse|T13000M51500||rhabdomyolyse|6
rabdomyoom|M89000||rhabdomyoom|2
rabdomyosarcoom|M89003||rhabdomyosarcoom|2
rabies|D04590|V|rabies|2
rachischisis|M21520||spina bifida|2
rachischizis|M21520||spina bifida|2
rachitis|D18410|V|rachitis|2
radial scar|M74250T04000||complexe scleroserende laesie|6
radiation reaction|M11600F01558||bestralingsverandering|2
radiculaircyste|T54040M43850||radiculaire cyste|2
radiculaire cyste|T54040M43850|V|radiculaire cyste|2
radiodiagnostiek|PX2000|V|radiodiagnostiek|1
radiografie|E93240PX0000|V|radiografie|2
radionecrose|M54000E93240|V|radionecrose|6
radiotherapie|E93240|V|radiotherapie|2
radius|T11420|V|radius|0
ramus circumflexus arteria coronaria|T43120||arteria coronaria ramus circumflexus|0
ramus circumflexus linker coronairarterie|T43120TYY990|V|ramus circumflexus linker coronairarterie|6
ramus descendens posterior rechter coronairarterie|T43210|V|ramus descendens posterior rechter coronairarterie|0
ranula|M33560|V|ranula|2
ranula cyste|M33560||ranula|2
raphe penis|T76340|V|raphe penis|0
rapport verwijderd|TYY880M00010P49990|V|rapport verwijderd|2
raynaud|D73280|V|raynaud|2
raynaud fenomeen|F03280|V|raynaud fenomeen|2
reactie op sensibilisatie|F49000|V|reactie op sensibilisatie|2
reactiecentra lymfklier|T08060|V|reactiecentra lymfklier|0
reactief|M01710|V|reactief|2
reactief beeld|M01710||reactief|2
reactief proces|M01710||reactief|2
reactief proces met touton reuscellen|M44160||toutonse reuscellen|2
reactieve angioendotheliomatose|M97120|V|reactieve angioendotheliomatose|2
reactieve bloedvathyperplasie|M72570||bloedvathyperplasie|2
reactieve botnieuwvorming|F89340|V|reactieve botnieuwvorming|2
reactieve fibromatose|M88221||palmaire of plantaire fibromatose|2
reactieve fibrose|M49006|V|reactieve fibrose|2
reactieve folliculaire hyperplasie|M72200||lymfoide hyperplasie|2
reactieve gastritis|D61670|V|reactieve gastritis|2
reactieve gliose|M49160||gliose|2
reactieve granulomateuze verandering|M45240||granulatieweefsel|2
reactieve hyperplasie|M72020|V|reactieve hyperplasie|2
reactieve hypertrofie|M71020|V|reactieve hypertrofie|2
reactieve lymfoide hyperplasie|M72200||lymfoide hyperplasie|2
reactieve perforerende collagenose|M74070|V|reactieve perforerende collagenose|2
reactieve verandering|M01710||reactief|2
reanimatie|P76600|V|reanimatie|1
recanalisatie|M39260|V|recanalisatie|2
recanalisatie thrombus|M35140||thrombus met rekanalisatie|2
recent infarct|M54720||acuut infarct|2
recente bloeding|M37000||bloeding|2
recente fractuur|M12000||fractuur|2
recente operatie|M14020||operatiewond|2
recente thrombus|M35100||thrombus|2
rechter-|TYY980||rechts|3
rechterzijde|TYY980||rechts|3
rechts|TYY980|V|rechts|3
rechts isomerisme|M22123|V|rechts isomerisme|2
rechts links onbekend|TYY970||zijdigheid onbekend|3
rechtsverschuiving|M75940|V|rechtsverschuiving|2
recidief|F02110|V|recidief|2
recidiverende ontsteking|M42040|V|recidiverende ontsteking|2
recidiverende polychondritis|T13000D34570|V|recidiverende polychondritis|2
reciduale cyste|M26520||odontogene cyste|2
rectokele|T68000M31650|V|rectokele|2
rectosigmoid|T67900|V|rectosigmoid|0
rectosigmoideum|T67900||rectosigmoid|0
rectum|T68000|V|rectum|0
rectumslijmvlies|T68010||slijmvlies rectum|0
rectumstomp|T68200|V|rectumstomp|0
reductie|P11270||segmentectomie|1
reductie mamma|T04000P11270||mammareductie|6
reexcisie|P11290|V|reexcisie|1
reflux|F61680|V|reflux|2
reflux oesofagitis|T62000M40000F61680|V|reflux oesofagitis|6
refractaire anemie|M99803||myelodysplastisch syndroom met unilineage dysplasie|2
refractaire anemie met excess blasten|M99833||myelodysplastisch syndroom met excess blasten|2
refractaire anemie met ringsideroblasten|M99823||myelodysplastisch syndroom met ringsideroblasten|2
refractaire cytopenie met multilineage dysplasie|M99853||myelodysplastisch syndroom met multilineage dysplasie|2
refractaire cytopenie met unilineage dysplasie|M99803||myelodysplastisch syndroom met unilineage dysplasie|2
regeneratie|M79900|V|regeneratie|2
regeneratief endometrium|T84000M79380|V|regeneratief endometrium|2
regeneratiefase|T84000M79380||regeneratief endometrium|2
regeneratieve nodus|M72190||nodulaire regeneratieve hyperplasie|2
regio epigastrica|TY4200||bovenbuik|0
regio glutaea|TY1600||bil|0
regio glutea|TY1600||bil|0
regio inguinalis|TY7000||lies|0
regio lumbalis|TY1300||lumbaal|0
regio occipitalis|TY0140||achterhoofd|0
regio orbitalis|TY0480|V|regio orbitalis|0
regio perihepatica|T56400||perihepatisch gebied|0
regio pterygoidea|TY0500|V|regio pterygoidea|0
regio pubica|TY4240||schaamstreek|0
regio sacralis|TY1410|V|regio sacralis|0
regio submandibularis|TY0680||submandibulair|0
regio subphrenica|TY4520|V|regio subphrenica|0
regio temporalis|TY0150||slaap|0
regio umbilicalis|TY4230||navelstreek|0
regressie|M01720||regressieve verandering|2
regressieve afwijking|M01720||regressieve verandering|2
regressieve verandering|M01720|V|regressieve verandering|2
reiter|D08270|V|reiter|2
rejectie|F44100|V|rejectie|2
rejectie borderline|F44191||borderline rejectie|2
relapsing polychondritis|T13000D34570||recidiverende polychondritis|2
relatieve lymfocytose|T0X210M77600||lymfocytose|2
remissie|F02120|V|remissie|2
ren|T71000||nier|0
renaal medullair carcinoom|M83173||smarcb1 deficient medullair niercelcarcinoom|2
renale osteodystrofie|D65610|V|renale osteodystrofie|2
rendu osler|D54280|V|rendu osler|2
reninoom|M81560|V|reninoom|2
renomedullaire interstitiele cel tumor|M89660|V|renomedullaire interstitiele cel tumor|2
reparatie|M49300|V|reparatie|2
reparatief reuscelgranuloom|M44100M30400||vreemdlichaamgranuloom|2
reparatiereactie|M49300||reparatie|2
research|P30902|V|research|1
resectie|P11100|V|resectie|1
resectie volgens mohs|T01000P11540||mohs resectie|0
resectievlak dubieus|M09460||snijvlak dubieus|2
resectievlak niet te beoordelen|M09430||snijvlak niet te beoordelen|2
resectievlak niet vrij|M09420||snijvlak niet vrij|2
resectievlak vrij|M09410||snijvlak vrij|2
resectievlakken dubieus|M09460||snijvlak dubieus|2
resectievlakken niet te beoordelen|M09430||snijvlak niet te beoordelen|2
resectievlakken niet vrij|M09420||snijvlak niet vrij|2
resectievlakken vrij|M09410||snijvlak vrij|2
reservecelhyperplasie|M72120||basaalcel hyperplasie|2
reservecellen gezien|M01040|V|reservecellen gezien|2
residual carcinoma|M80103||carcinoom|2
residuale cyste|T54010M43850|V|residuale cyste|2
resorptie|M50050|V|resorptie|2
respiratoir distress syndroom|D77050||acuut respiratoir distress syndroom|2
respiratoir distress syndroom kind|D77080||hyaliene membraanziekte|2
respiratoir slijmvlies neus|T21010||slijmvlies neus|0
respiratoire acidose|D10830|V|respiratoire acidose|2
respiratoire bronchiolitis interstitiele pneumonie|T28780T27000M40000|V|respiratoire bronchiolitis interstitiele pneumonie|2
respiratoire insufficientie|F75010|V|respiratoire insufficientie|2
respiratory distress syndrome|D77050||acuut respiratoir distress syndroom|2
respiratory distress syndrome kind|D77080||hyaliene membraanziekte|2
rest van ontsteking|M40009F01100||ontstekingsrest|2
resten van wolff|M26370||mesonefrosrest|2
restrictieve idiopathische cardiomyopathie|T33010D71070|V|restrictieve idiopathische cardiomyopathie|2
resttoestand na ontsteking|M40009F01100||ontstekingsrest|2
resttumor|M80063||tumorrest|2
resus antagonisme|D46820|V|resus antagonisme|2
rete ovarii|T87410|V|rete ovarii|0
rete testis|T78300|V|rete testis|0
retentie|M33000||stase|2
retentie cyste|M33430|V|retentie cyste|2
retentie poliep|M75640||juveniele poliep|2
retentio placentae partialis|M28030||placentarest|2
retentio testis|T78080M26200||cryptorchisme|2
reticulair perineurioom|M95730|V|reticulair perineurioom|2
reticulaire erythemateuze mucinose|D38742|V|reticulaire erythemateuze mucinose|2
reticuline|T1X250|V|reticuline|0
reticulocytose|T0X130M77600|V|reticulocytose|2
reticuloendotheliaal systeem|T05000|V|reticuloendotheliaal systeem|0
reticulohistiocytoom|M77880|V|reticulohistiocytoom|2
retiform hemangioendothelioom|M91361|V|retiform hemangioendothelioom|2
retina|TXX610|V|retina|0
retinaculum extensorum|T18830|V|retinaculum extensorum|0
retinaloslating|TXX610M31140||netvliesloslating|6
retinitis pigmentosa|DX0300|V|retinitis pigmentosa|2
retinoblastoom|M95103|V|retinoblastoom|2
retinopathie|TXX610DX0110|V|retinopathie|2
retroauriculair|TY0180|V|retroauriculair|0
retrocoecaal|T66400|V|retrocoecaal|0
retrofaryngeaal|T60140|V|retrofaryngeaal|0
retroflexie|M31040|V|retroflexie|2
retrolentale fibroplasie|TXX000M49270E01100|V|retrolentale fibroplasie|2
retroperitoneaal|TY4600||retroperitoneum|0
retroperitoneale fibrose|TY4600M49000|V|retroperitoneale fibrose|6
retroperitoneum|TY4600|V|retroperitoneum|0
retroplacentair hematoom|T88600M37100|V|retroplacentair hematoom|6
retroplacentaire bloeding|T88600M37000|V|retroplacentaire bloeding|6
retrosternaal struma|T96000M71650|V|retrosternaal struma|2
reumaknobbel|M44940|V|reumaknobbel|2
reumatische hartafwijking|T32000D72500|V|reumatische hartafwijking|6
reumatische nodulus|M44940||reumaknobbel|2
reumatische nodus|M44940||reumaknobbel|2
reumatische ontsteking|M44900||fibrinoide ontsteking|2
reumatoide arteriitis|T41000M44900D30700|V|reumatoide arteriitis|6
reumatoide artritis|D30700|V|reumatoide artritis|2
reumatoide knobbel|M44940||reumaknobbel|2
reumatoide nodus|M44940||reumaknobbel|2
reumatoide ontsteking|M44900||fibrinoide ontsteking|2
reuscel|M69220|V|reuscel|2
reuscel fibroblastoom|M88341|V|reuscel fibroblastoom|2
reuscel fibroom|M92530|V|reuscel fibroom|2
reuscel maligne fibreus histiocytoom|M88353|V|reuscel maligne fibreus histiocytoom|2
reuscelarteritis|T41000M40000M69220|V|reuscelarteritis|2
reuscelcarcinoom|M80313|V|reuscelcarcinoom|2
reuscelepulis|M44120||perifeer reuscelgranuloom|2
reuscelglioblastoom|M94413|V|reuscelglioblastoom|2
reuscelgranuloom|M44100M30400||vreemdlichaamgranuloom|2
reuscelhepatitis|T56000M47870|V|reuscelhepatitis|2
reuscellenarteriitis|T41000M40000M69220||reuscelarteritis|2
reuscellenarteritis|T41000M40000M69220||reuscelarteritis|2
reusceltumor bot|M92501|V|reusceltumor bot|2
reusceltumor bot dubieus maligne|M92501||reusceltumor bot|2
reusceltumor peesschede|M92520|V|reusceltumor peesschede|2
reusceltumor van de weke delen|M92511|V|reusceltumor van de weke delen|2
reuscelvorming|M69220||reuscel|2
reuzencomedone|M33090|V|reuzencomedone|2
reuzengroei|M70430|V|reuzengroei|2
revisie|P30700|V|revisie|1
revisie concordant|P30701|V|revisie concordant|1
revisie discordant|P30702|V|revisie discordant|1
revisie extern|P30720|V|revisie extern|1
revisie extern concordant|P30721|V|revisie extern concordant|1
revisie extern discordant|P30722|V|revisie extern discordant|1
revisie extern geen overeenstemming|P30722||revisie extern discordant|1
revisie extern grote discordantie|P30724|V|revisie extern grote discordantie|1
revisie extern kleine discordantie|P30723|V|revisie extern kleine discordantie|1
revisie extern overeenstemming|P30721||revisie extern concordant|1
revisie geen overeenstemming|P30702||revisie discordant|1
revisie grote discordantie|P30704|V|revisie grote discordantie|1
revisie intern|P30710|V|revisie intern|1
revisie intern concordant|P30711|V|revisie intern concordant|1
revisie intern discordant|P30712|V|revisie intern discordant|1
revisie intern geen overeenstemming|P30712||revisie intern discordant|1
revisie intern grote discordantie|P30714|V|revisie intern grote discordantie|1
revisie intern kleine discordantie|P30713|V|revisie intern kleine discordantie|1
revisie intern overeenstemming|P30711||revisie intern concordant|1
revisie kleine discordantie|P30703|V|revisie kleine discordantie|1
revisie niet verwerkt|P30708|V|revisie niet verwerkt|1
revisie overeenstemming|P30701||revisie concordant|1
revisie t.b.v. derden|P30730||revisie ten behoeve van derden|1
revisie t.b.v. derden concordant|P30731||revisie ten behoeve van derden concordant|1
revisie t.b.v. derden discordant|P30732||revisie ten behoeve van derden discordant|1
revisie ten behoeve van derden|P30730|V|revisie ten behoeve van derden|1
revisie ten behoeve van derden concordant|P30731|V|revisie ten behoeve van derden concordant|1
revisie ten behoeve van derden discordant|P30732|V|revisie ten behoeve van derden discordant|1
revisie ten behoeve van derden grote discordantie|P30734|V|revisie ten behoeve van derden grote discordantie|1
revisie ten behoeve van derden kleine discordantie|P30733|V|revisie ten behoeve van derden kleine discordantie|1
revisie verwerkt|P30709|V|revisie verwerkt|1
revisie voor derden|P30730||revisie ten behoeve van derden|1
revisie voor derden concordant|P30731||revisie ten behoeve van derden concordant|1
revisie voor derden discordant|P30732||revisie ten behoeve van derden discordant|1
reye|D88320|V|reye|2
rhabdoid meningeoom|M95393|V|rhabdoid meningeoom|2
rhabdoid tumor|M89633|V|rhabdoid tumor|2
rhabdomyolyse|T13000M51500|V|rhabdomyolyse|6
rhabdomyolysis|T13000M51500||rhabdomyolyse|6
rhabdomyoom|M89000|V|rhabdomyoom|2
rhabdomyosarcoom|M89003|V|rhabdomyosarcoom|2
rhinopharynx|T23000||neuskeelholte|0
rhinophyma|T21000M45480|V|rhinophyma|2
rhinosporidium|E42410|V|rhinosporidium|2
rhinosporidium seeberi|E42420|V|rhinosporidium seeberi|2
rhombencephalon|TX7130|V|rhombencephalon|0
rib|T11330|V|rib|0
ribkraakbeen|T15100|V|ribkraakbeen|0
richter|M95993|V|richter|2
riedel|T96000M71620|V|riedel|2
rijpingsremming|M75200||verminderde celuitrijping|2
rijpingsstoornis|M75000|V|rijpingsstoornis|2
rijpingsstoornis spermatogenese|T78220M75000||spermatogene rijpingsstoornis|6
rijpingsstop|M75010|V|rijpingsstop|2
ring van waldeyer|T61000|V|ring van waldeyer|0
ringvinger|TY8840||vierde vinger|0
rinophyma|T21000M45480||rhinophyma|2
rinosporidiose|D05720|V|rinosporidiose|2
rna|PYY140||rna test|1
rna dubieus|PYY140M09340||rna test dubieus|6
rna negatief|PYY140M00022||rna test negatief|1
rna positief|PYY140M00021||rna test positief|1
rna test|PYY140|V|rna test|1
rna test dubieus|PYY140M09340|V|rna test dubieus|6
rna test negatief|PYY140M00022|V|rna test negatief|1
rna test positief|PYY140M00021|V|rna test positief|1
rode pulpa|T07040|V|rode pulpa|0
rokitansky aschoff sinus|T57000M32740|V|rokitansky aschoff sinus|2
romp|TY1000|V|romp|0
rompwand|TY1000||romp|0
rondcellig liposarcoom|M88523||myxoid liposarcoom|2
rondcellig sarcoom|M88033|V|rondcellig sarcoom|2
rondcellig sarcoom met ewsr1 non ets fusie|M93673|V|rondcellig sarcoom met ewsr1 non ets fusie|2
rondkernig infiltraat|M47190||lymfocytaire ontsteking|2
rontgencontraststof|E81300|V|rontgencontraststof|2
rontgendermatitis|T01000M11620M40000E93240|V|rontgendermatitis|2
rontgenfoto|PX2000||radiodiagnostiek|1
rontgenlocalisatie|PX1490|V|rontgenlocalisatie|1
ros breuk aanwezig|P37960M00021|V|ros breuk aanwezig|1
ros breuk niet aanwezig|P37960M00022|V|ros breuk niet aanwezig|1
ros breuk niet beoordeelbaar|P37960M00023|V|ros breuk niet beoordeelbaar|1
rosacea|M49010|V|rosacea|2
rosai-dorfman ziekte|M75680|V|rosai-dorfman ziekte|2
rosette vormende glioneuronale tumor|M95091||glioneuronale tumor|2
rotor|D15080|V|rotor|2
rotting|M54380|V|rotting|2
rpgn|D67400||crescentische glomerulonefritis|2
rubella|D04670|V|rubella|2
rudimentaire uterus|T82000M21300|V|rudimentaire uterus|2
rug|TY1100|V|rug|0
ruggemerg|TX7410||ruggenmerg|0
ruggemergszenuw|TX9000||ruggenmergszenuw|0
ruggenmerg|TX7410|V|ruggenmerg|0
ruggenmergszenuw|TX9000|V|ruggenmergszenuw|0
rugspier|T13010|V|rugspier|0
ruiterembolie|M35304|V|ruiterembolie|2
ruptuur|M14430|V|ruptuur|2
ruptuur in aneurysma|M32401||gebarsten aneurysma|2
russel bodies|M69130|V|russel bodies|2
rystekorrels|M39120||corpus oryzoideum|2
s.c.a.|D84581||spinocerebellaire ataxie|2
s.l.e.|D38720||lupus erythematodes disseminatus|2
sacculair aneurysma|M32540|V|sacculair aneurysma|2
sacculaire bronchiectasie|T26000M32124|V|sacculaire bronchiectasie|2
saccus lacrimalis|TXX940||traanzak|0
sacraal|TY1410||regio sacralis|0
sacraal gebied|TY1410||regio sacralis|0
sacraal ruggemerg|TX7810||sacraal ruggenmerg|0
sacraal ruggenmerg|TX7810|V|sacraal ruggenmerg|0
sacrale gebied|TY1410||regio sacralis|0
sacrale regio|TY1410||regio sacralis|0
sacrale wervel|T10806|V|sacrale wervel|0
sacrococcygeaal|TY1400|V|sacrococcygeaal|0
sacrococcygeaal gebied|TY1400||sacrococcygeaal|0
sacroiliacaal gewricht|T12680|V|sacroiliacaal gewricht|0
sacrum|T10800|V|sacrum|0
saliva|T5X000||speeksel|0
salivary duct carcinoom|M85013|V|salivary duct carcinoom|2
salmonella|E16000|V|salmonella|2
salmonella enteritidis|E16060|V|salmonella enteritidis|2
salmonella paratyphi a|E16020|V|salmonella paratyphi a|2
salmonella paratyphi b|E16030|V|salmonella paratyphi b|2
salmonellose|D07410|V|salmonellose|2
salpingitis|T86100M40000|V|salpingitis|6
salpingitis isthmica nodosa|T86100M74200|V|salpingitis isthmica nodosa|6
salpinx|T86100||tuba fallopii|0
salzmannse cornea dystrofie|M56170||cornea dystrofie salzmann|2
samengestelde naevus|M87600|V|samengestelde naevus|2
samengestelde naevus naevocellularis|M87600||samengestelde naevus|2
sampus|M87431|V|sampus|2
sanfilippo|D38130|V|sanfilippo|2
sarcina|E23800|V|sarcina|2
sarcoidgranuloom|M44210|V|sarcoidgranuloom|2
sarcoidose|D08280|V|sarcoidose|2
sarcoma botryoides|M89103||embryonaal rhabdomyosarcoom|2
sarcomatoid carcinoom|M80323||spoelcellig carcinoom|2
sarcomatoid mesothelioom|M90513|V|sarcomatoid mesothelioom|2
sarcoom|M88003|V|sarcoom|2
sarcoom met cic herschikking|M93663|V|sarcoom met cic herschikking|2
sarcoom met genetische bcor verandering|M93693|V|sarcoom met genetische bcor verandering|2
satellitose|M69050|V|satellitose|2
scabies|D07410E48870|V|scabies|2
scapula|T11280|V|scapula|0
scar laesion|M74250T04000||complexe scleroserende laesie|6
schaambeen|T11360|V|schaambeen|0
schaamlip|T80210||labium|0
schaamstreek|TY4240|V|schaamstreek|0
schamberg|M48600||purpura pigmentosa progressiva|2
schedel|T10100|V|schedel|0
schedelbasis|T10141|V|schedelbasis|0
schedeldak|T10110|V|schedeldak|0
scheen|TY9410|V|scheen|0
scheenbeen|T11730||tibia|0
scheuermann|T10510M54220|V|scheuermann|6
scheur|M14430||ruptuur|2
schildklier|T96000|V|schildklier|0
schildklier c cel|T96050||c cel schildklier|0
schildkliercolloid|T96040|V|schildkliercolloid|0
schildklierkwab|T96100|V|schildklierkwab|0
schildklierkwabje|T96100||schildklierkwab|0
schildklierweefsel|T96000||schildklier|0
schildkraakbeen|T24160||cartilago thyreoidea|0
schildwachterklier procedure|P11320||sentinel node procedure|1
schildwachtklier|P11320||sentinel node procedure|1
schildwachtklier procedure|P11320||sentinel node procedure|1
schimmel|E40000|V|schimmel|2
schimmelinfectie|D05500E40000|V|schimmelinfectie|2
schisis|M21500||congenitaal onvolledige sluiting|2
schistosoma haematobium|E46890|V|schistosoma haematobium|2
schistosoma japonicum|E46880|V|schistosoma japonicum|2
schistosoma mansoni|E46870|V|schistosoma mansoni|2
schistosomiasis|D07430|V|schistosomiasis|2
schistosoom|E46860|V|schistosoom|2
schizis|M21500||congenitaal onvolledige sluiting|2
schizofrenie|D90600|V|schizofrenie|2
schmorl's nodule|M31420|V|schmorl's nodule|2
schneiderian papilloom|M80530|V|schneiderian papilloom|2
schors cerebellum|TX6040|V|schors cerebellum|0
schors van de achterhoofdskwab|TX2410|V|schors van de achterhoofdskwab|0
schouder|TY1220|V|schouder|0
schouderblad|T11280||scapula|0
schoudergewricht|T12410|V|schoudergewricht|0
schoudergordel|T11300|V|schoudergordel|0
schrompelnier|T71000M49210|V|schrompelnier|2
schuimcel|M69520|V|schuimcel|2
schuimcelvorming|M69520||schuimcel|2
schwannoom|M95600|V|schwannoom|2
sclera|TXX110|V|sclera|0
scleredema adultorum|M55670||scleroedeem|2
sclerema neonatorum|M45670E01100|V|sclerema neonatorum|2
scleritis|TXX110M40000|V|scleritis|6
scleroderma|D38760||sclerodermie|2
scleroderma diffusa|D38770|V|scleroderma diffusa|2
sclerodermie|D38760|V|sclerodermie|2
scleroedeem|M55670|V|scleroedeem|2
scleroedema|M55670||scleroedeem|2
scleroedema adultorum|M55670||scleroedeem|2
scleromyxoedeem|M55680|V|scleromyxoedeem|2
sclerose|M49020|V|sclerose|2
sclerose van monckeberg|M52430||mediasclerose|2
scleroserend adenocarcinoom|M81413|V|scleroserend adenocarcinoom|2
scleroserend epithelioid fibrosarcoom|M88413|V|scleroserend epithelioid fibrosarcoom|2
scleroserend hemangioom|M88370||scleroserend pneumocytoom|2
scleroserend liposarcoom|M88573|V|scleroserend liposarcoom|2
scleroserend perineurioom|M95760|V|scleroserend perineurioom|2
scleroserend pneumocytoom|M88370|V|scleroserend pneumocytoom|2
scleroserend thymoom|M85801||thymoom|2
scleroserende adenose|M74220|V|scleroserende adenose|2
scleroserende cholangitis|T56110M45000|V|scleroserende cholangitis|6
scleroserende glomerulonefritis|D67900||glomerulosclerose|2
scleroserende ontsteking|M45000||chronische fibroserende ontsteking|2
scleroserende stromale tumor|M86020|V|scleroserende stromale tumor|2
scoliose|M31510|V|scoliose|2
scopie|P13000|V|scopie|1
scrotum|T79400|V|scrotum|0
scybala|M33112|V|scybala|2
sebaceoom|M84110|V|sebaceoom|2
sebaceus adenoom|M84100||talgklieradenoom|2
sebaceus epithelioom|M84100||talgklieradenoom|2
seborroisch eczeem|M48820|V|seborroisch eczeem|2
seborroische dermatitis|M48820||seborroisch eczeem|2
seborroische keratose|M72750||verruca seborrhoica|2
sebum|T0Y120||talg|0
secernerend endometrium|T84000M79320||endometrium in secretiefase|2
secobarbital|E78880|V|secobarbital|2
secreetstase|M33000||stase|2
secretiefase|T84000M79320||endometrium in secretiefase|2
secretoir carcinoom|M85023|V|secretoir carcinoom|2
secretoir meningeoom|M95300||meningeoom|2
secretoire activiteit endometrium|T84000M79320||endometrium in secretiefase|2
secretoire granula|M66720|V|secretoire granula|2
sectie|P30110||obductie|1
sectio caesarea|P10400|V|sectio caesarea|1
secundair osteosarcoom|M91843|V|secundair osteosarcoom|2
secundaire amenorroe|F30130|V|secundaire amenorroe|2
secundaire biliaire cirrose|M49580T56000||biliaire cirrose|2
secundaire biliaire levercirrose|M49580T56000||biliaire cirrose|2
secundaire hemochromatose|M57502|V|secundaire hemochromatose|2
secundaire hyperparathyreoidie|D22640|V|secundaire hyperparathyreoidie|2
segmentale glomerulosclerose|D67910||focale segmentale glomerulosclerose|2
segmentale proliferatieve glomerulonefritis|D67200||locale focale glomerulopathie|2
